Organization A,Organization B,Connection,Source(s)
TRUMP VIRGINIA LOT 5 MANAGER CORP.,TRUMP VIRGINIA LOT 5 LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP WINE MARKS MEMBER CORP.,TRUMP WINE MARKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP WINERY,ERIC TRUMP WINE MANUFACTURING LLC,Trade name,http://www.trumpwinery.com/legal/ | http://www.npr.org/2016/03/09/469775355/trump-doesnt-own-most-of-the-products-he-pitched-last-night
TRUMP WORLD PRODUCTIONS MANAGER CORP.,TRUMP WORLD PRODUCTIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,DT BALI GOLF MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,DT BALI HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,DT BALI TECHNICAL SERVICES MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,DT LIDO GOLF MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,DT LIDO HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,DT LIDO TECHNICAL SERVICES MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE LLC,TC MARKS BUENOS AIRES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TTTT VENTURE MEMBER CORP.,THC VENTURE III LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TURNBERRY SCOTLAND LLC,GOLF RECREATION SCOTLAND LIMITED,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TURNBERRY SCOTLAND MANAGING MEMBER CORP.,TURNBERRY SCOTLAND LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TW VENTURE I MANAGING MEMBER CORP.,TW VENTURE I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TW VENTURE II LLC,TRUMP INTERNATIONAL GOLF LINKS - DOONBEG,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TW VENTURE II MANAGING MEMBER CORP.,TW VENTURE II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
UBS GROUP AG,"1291 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
UBS GROUP AG,TIHT COMMERCIAL LLC,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
UNIT 2502 ENTERPRISES CORP.,UNIT 2502 ENTERPRISES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
UNITED ARTISTS MEDIA GROUP,TRUMP PRODUCTIONS LLC,"Partners on The Apprentice, Season 14",http://www.baltimoresun.com/entertainment/tv/z-on-tv-blog/bal-nbc-should-cuts-ties-with-trump-20150629-story.html
USAA,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
"USTC HOLDINGS, LLC","XE SERVICES, LLC",Ownership,http://www.businesswire.com/news/home/20101217005249/en/Xe-Services-LLC-Acquired-USTC-Holdings-LLC
VALIC,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
VALUE LINE,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
"VERNER, LIIPFERT, BERNHARD, MCPHERSON AND HAND",DLA PIPER,Merged,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=2402768
VH PROPERTY CORP.,TRUMP NATIONAL GOLF CLUB - LOS ANGELES,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
VORNADO REALTY TRUST,KUSHNER COMPANIES,Investor,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
VOYA FINANCIAL,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
WELLCOME TRUST,THRIVE CAPITAL,Investor,http://www.forbes.com/sites/stevenbertoni/2016/07/18/new-york-vc-thrive-captial-raises-700-million-for-fifth-fund/#6f6296ff27d4
WENDOH MEDIA,OBSERVER MEDIA,Business partners,https://mediadecoder.blogs.nytimes.com/2010/02/04/new-york-observer-to-help-create-las-vegas-weekly/
WESTERN ASSET MORTGAGE CAPITAL,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
WEWORK,KUSHNER PROPERTIES,Tenant,http://www.nytimes.com/2016/07/05/us/politics/jared-kushner-donald-trump.html
WHITE COURSE MANAGING MEMBER CORP.,WHITE COURSE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"XE SERVICES, LLC",BLACKWATER WORLDWIDE,NKA/FKA,https://www.washingtonpost.com/blogs/checkpoint-washington/post/ex-blackwater-firm-gets-a-name-change-again/2011/12/12/gIQAXf4YpO_blog.html?utm_term=.bd28e9699633
YY DEVELOPMENT GROUP,TRUMP MARKS PUNTA DEL ESTE LLC,"Licenses ""Trump"" name for Trump Tower Punta del Este",https://www.multihousingnews.com/post/100m-residential-trump-project-launched-in-uruguay-2/
